país Name,país Code,serie Name,serie Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),SP.ADO.TFRT,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,..,..
Argentina,ARG,"Agricultura, valor agregado (% del PIB)",NV.AGR.TOTL.ZS,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.47838222945344,6.09712894763666,..
Argentina,ARG,"Extracción anual de agua dulce, total (% de recursos internos)",ER.H2O.FWTL.ZS,..,..,12.9075342465753,..,12.9075342465753,..,..,..,..,..
Argentina,ARG,Nacimientos asistidos por personal de salud capacitado (% del total),SH.STA.BRTC.ZS,94.97,97.14,98.2,97.04,99.6,99.6,..,..,..,..
Argentina,ARG,Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,4.60716374803428,4.64437307038597,4.60917985556416,4.49853999490794,4.78150777487432,..,..,..,..,..
Argentina,ARG,Prevalencia de uso de métodos anticonceptivos (% de mujeres entre 15 y 49 años),SP.DYN.CONU.ZS,..,..,55.4,81.3,..,..,..,..,..,..
Argentina,ARG,Crédito interno proporcionado por el sector financiero (% del PIB),FS.AST.DOMS.GD.ZS,24.9211841498421,25.9830634761961,30.0611634660132,32.6410320868475,34.0577525540757,40.0918095238928,37.4890374553872,38.3340366419125,..,..
Argentina,ARG,Consumo de energía eléctrica (kWh per cápita),EG.USE.ELEC.KH.PC,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..
Argentina,ARG,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..
Argentina,ARG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,18.9338234053709,18.4492091453155,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.2427213207093,14.2805176122688,..
Argentina,ARG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,126642436908.2,142884643038.3,139755161212.5,149693534483,153182419313.4,176574971030.3,188757585369.4,236470523837.9,280515652318.5,..
Argentina,ARG,"Tasa de fertilidad, total (nacimientos por cada mujer)",SP.DYN.TFRT.IN,2.346,2.338,2.33,2.322,2.312,2.301,2.288,2.275,..,..
Argentina,ARG,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11872856662.7649,..
Argentina,ARG,Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,285960,282991.9921875,280024.00390625,277055.99609375,274088.0078125,271120,268151.9921875,..,..,..
Argentina,ARG,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,642695864756.35,519871519807.795,..
Argentina,ARG,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.66859037935303,-2.48179244509274,..
Argentina,ARG,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,9270,10710,11890,12870,12350,12600,12220,13120,12390,..
Argentina,ARG,"INB per cápita, PPA (a $ internacionales actuales)",NY.GNP.PCAP.PP.CD,17890,19250,19300,19930,19600,20170,19690,20310,19870,..
Argentina,ARG,"INB, método Atlas (US$ a precios actuales)",NY.GNP.ATLS.CD,378241273935.818,442037545215.98,496046283909.912,543285805981.272,526784533342.356,543279945585.475,532589675300.734,577966910660.886,551170581779.708,..
Argentina,ARG,"INB, PPA (a $ internacionales actuales)",NY.GNP.MKTP.PP.CD,729853440297.525,794325172722.152,805324243203.253,841055034254.999,836246704581.861,869846606662.209,858301788488.851,894618626231.73,884194525767.263,..
Argentina,ARG,Formación bruta de capital (% del PIB),NE.GDI.TOTL.ZS,17.7055338062046,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.7572317129789,20.9658376303454,..
Argentina,ARG,Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados),TX.VAL.TECH.MF.ZS,7.74779626704759,7.35437508072018,6.6686104270513,7.47818132812086,7.07480375467349,9.26893795047756,9.02016531819385,9.237250108472,5.33428840592799,..
Argentina,ARG,Inmunización contra el sarampión (% de niños entre 12 y 23 meses de edad),SH.IMM.MEAS,95,95,94,94,95,89,90,89,94,..
Argentina,ARG,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,16.0371898581987,16.7569458546489,14.2886829096862,14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9806106427674,16.4199284119137,..
Argentina,ARG,Participación en el ingreso del 20% peor remunerado de la población,SI.DST.FRST.20,4.1,4.8,5,5,5,..,4.9,5.1,5,..
Argentina,ARG,"Industria, valor agregado (% del PIB)",NV.IND.TOTL.ZS,25.2587762576722,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.8690650957909,22.9672773382624,..
Argentina,ARG,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,20.915124272047,23.7034721839593,22.3148806733049,23.9487984162746,40.2829716315506,26.5799916024707,41.1193799882279,26.0074831458529,40.7027906889545,..
Argentina,ARG,"Esperanza de vida al nacer, total (años)",SP.DYN.LE00.IN,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,..,..
Argentina,ARG,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,29.5023394337096,29.8719291780486,27.0990432264413,27.2460417167365,25.4864119079835,19.6703052646326,20.4045915355847,19.5352120473962,24.4412311809228,..
Argentina,ARG,Gasto militar (% del PIB),MS.MIL.XPND.GD.ZS,0.814878105497939,0.764287094036749,0.784824721019786,0.837736430159436,0.878100919364039,0.850128583186764,0.813140077928875,0.856137916373543,0.854560979237316,..
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,139.580017993067,146.955455524498,154.059022977643,159.63946134269,143.615831608932,143.566834038237,146.453827600425,140.877123545137,132.093151327231,..
Argentina,ARG,"Tasa de mortalidad, menores de 5 años (por cada 1.000)",SH.DYN.MORT,14.4,13.9,13.3,12.6,12,11.5,10.9,10.4,9.9,..
Argentina,ARG,Índice de términos netos de intercambio (2000 = 100),TT.PRI.MRCH.XD.WD,144.6497531,160.459876,167.3631137,156.3571727,153.3167019,146.0703277,155.1966702,150.6282024,152.2067635,..
Argentina,ARG,Migración neta,SM.POP.NETM,..,..,30000,..,..,..,..,24000,..,..
Argentina,ARG,Ayuda oficial neta para el desarrollo y oficial neta recibidas (US$ a precios actuales),DT.ODA.ALLD.CD,130309997.558594,97050003.0517578,177759994.506836,34729999.5422363,48790000.9155273,-18870000.8392334,2619999.88555908,-1169999.95708466,70989997.8637695,..
